,LCPINDEX2,OLINDEX3,SINDEX2,GINDEX,D460,BD530_2,BD670,D700,BD875,BD905,BD920_2,BD1200,BD1300,BD1400,BD1450,BD1750,BD1900r2,BD1900_2,BD2100_2,BD2100_3,BD2165,BD2190,D2200,BD2210_2,BD2250,BD2265,BD2290,BD2355,MIN2250,RPEAK1,BDI1000VIS,Category,Color
hcp + olivine (Moderate),-0.01443286427876531,0.03115350037591448,-0.0004031832785313938,0.0,0.0,-0.0008839175885835271,-0.005954271567067071,-0.0020886363106273897,0.0013081003136178326,0.0040165963351984635,0.002068377352192341,4.468706914251275e-05,0.019598668521792373,0.0022371439741767363,0.002271048120166541,0.00021612799436798724,-0.0007516356184047446,0.0002240688331542895,0.00051508319271798,0.00034349314829007493,-0.0005468540738038374,0.00011002465029130715,-0.00033400881781742164,-0.0003602461508735999,-0.00030187967651484904,-0.0010679391245798087,-2.3473198913936955e-05,0.0007088167844327975,-0.00044748331355304316,0.44262999999999997,0.186395323117867,hcp + olivine (Moderate),purple
hcp + olivine (Moderate),-0.007269625349373121,0.03581604808366509,0.0011220951197142837,0.0,0.0,-0.002283684043882017,-0.006969551794811402,-0.0025975202812982268,0.005764667828991321,0.006242867343456693,-0.0012662888359802338,0.0014454451192320583,0.02056567544874599,0.0007696662810772192,0.003181214000391841,-0.001381053534028176,0.0016783691943783596,-0.00011095359835344709,0.0016263037261204927,-0.00267178690140657,-0.0011356673837150666,-0.0014927879007748945,0.0001208934992993349,-0.0002921082440989764,-0.0008632657720006875,-0.0005159146692284011,-7.810083574533166e-05,0.0007203491551240893,-0.00033011717756381564,0.44262999999999997,0.18218877183244975,hcp + olivine (Moderate),purple
alteration + plagioclase (Low),-0.019494358525135792,0.0061769263622788815,0.002736723604911062,0.0,0.0,0.0032512860111680864,-0.0027925428689068443,-0.00043250422991536475,-0.00284623446968868,-0.01021151672062226,-0.0083091335314045,0.0003745276833601041,0.020997888526336994,0.002733213510031529,-0.00046050065052205547,0.0009449991483426734,-0.0031057936463942948,-0.003463080086125725,-0.003889000340117299,0.001021708158495227,0.0036945147633784536,0.002347770091435608,0.001951600144087573,-0.003934847660575835,-0.011780341606867362,-0.011507008084393533,0.0006904314808140466,0.0037188208048410942,-0.005243185482918911,0.89248,0.18959717144722577,alteration + plagioclase (Low),yellow
lcp (High),0.026471213990771084,-0.015841475596685372,0.0006412038014004251,-0.00186582778809119,0.0,-0.005934084654853011,0.0054832034272537244,0.007896016866299593,0.016615007819692496,0.038086764779680315,0.02627544550773342,-0.003514302058945873,-0.04367274625392237,-0.012984897528184547,-0.006216615551180027,-0.0010558924529484592,0.001954685161318803,-0.0010745741421176458,0.0037415457356669846,0.005155655586469465,-0.0035517867613390486,-0.004065134540099491,-0.0016601418887387531,0.0007010165515877187,-0.001693693652245587,-0.0007499769734866657,0.001102021642625628,-0.0018023346224809167,0.000975004200291063,0.44262999999999997,0.17280626728503057,lcp (High),cyan
lcp (High),0.026743975540293993,-0.038217012386690424,-0.003074841512219928,-0.0037094122932299634,0.0,0.001920916491995328,0.008258754825211656,0.004935816600677767,0.012897750316485546,0.032008229935550525,0.020649150659994175,1.9190696033510868e-05,-0.04285678888390421,-0.0042294968613796335,-0.00938891510561124,-0.0002601713745735701,0.0019273259289818157,0.00046017484880245263,0.004289296874680271,0.0025921542428758437,0.003849662237609408,0.004275210734941193,-0.0026905541695636526,-0.0002317112214440531,0.0021428317245970607,0.0021144695318308093,0.001475292211385426,-0.0011224998956156362,-0.00024810471551206525,0.6516721184236848,0.18291024913588716,lcp (High),cyan
plagioclase (Low),-0.0017721348625024278,0.007091504337024842,-0.0025030930150753417,0.0,0.0,0.003046099586043405,-0.022314160177767217,-0.005461764918376577,-0.0023873375272149833,-0.0067313182835377905,-0.0029113463840051423,4.9237402591217894e-05,0.0048383381906927925,0.00202574922606813,-0.0011823055568453977,-0.0009285163222492177,-0.0037560680968424798,0.0008998007410502273,-0.003006604359840903,-0.0004895333755086106,0.004170443948570912,0.0038435209284483074,0.0011415148916279483,-0.0001485294560106265,0.0027528485108443412,0.002781702597212554,0.0010571473729973357,-0.0010605432961823258,0.00036691370438157733,0.89248,0.18971576450296546,plagioclase (Low),yellow
olivine (High),-0.006657228101837821,0.03484323417356809,0.00028963812716753523,0.0,0.0,-0.0013568954185601,-0.005337686148747078,-0.0016258661411137076,0.00102701701717689,-0.0007062087964428976,-0.004039515944210148,0.0014299394531080978,0.025886839998102262,-0.0009727735234665857,0.0037097719553139674,-0.0010290349456976156,0.00165731206147679,-0.0018285163305391539,0.0003253205922092439,-0.0007564250984872789,0.001201037815582895,0.0017836095177946598,0.0005238638225862902,0.0017622872347627938,0.0014092240061076566,0.0013962108599083756,-0.000564988150784318,-0.0011068172347314942,0.0009419675275849082,0.44262999999999997,0.18708981162902516,olivine (High),red
olivine (High),-0.014791976564722198,0.0449294417947713,0.0016204642599214614,0.0,0.0,0.0033399739741871715,-0.019506087361895963,-0.013489636620670487,0.004845161829655775,0.009128203604533147,0.0025426204813624453,0.001430381050740448,0.02258466543585136,-0.0006007777571741535,0.005494202101866019,-0.0006247661108880198,0.004196086725878456,0.00033533615372927095,0.0021886913984289214,0.002765699500424157,-0.0006804917112130937,-0.000982522196232738,-0.0005032001303721945,-0.0003551658764011645,-0.0015071687750445317,-0.001932009953574454,0.0003642005858005559,-0.00041437330592453137,-0.00028957580615029954,0.6676899819963993,0.18686031103157574,olivine (High),red
alteration + olivine + plagioclase (Moderate),-0.006036157167694966,0.0106928517506062,-0.00031197116282366544,0.0,0.0,-0.0031217913028041,-0.021012219592550174,-0.008685487412737336,-0.0010949555731154526,-0.0035580304410027797,-0.004271864810089232,0.00023191144289358423,0.01679223771092997,0.001227073307996207,0.002391509048010554,-0.0010247228598534441,-0.0011329922421992045,-0.001473704169904222,0.003030504227815478,0.0028505279912351966,0.003312305812321892,0.0037151873783969336,-0.001653986024943599,-0.001145484728604096,-0.00021706624892603443,-0.0026072126183522837,-0.0003462303059720284,0.0012333549529806032,-0.0018169792921494121,0.44262999999999997,0.1853354797744723,alteration + olivine + plagioclase (Moderate),orange
plagioclase (Moderate),-0.0026605031815350785,-0.0017978028284634934,0.006873423378011778,0.0,0.0,0.00570147195880355,-0.0031915403729840808,0.0016643883105621482,-0.0031305221231150426,-0.012851184398476212,-0.007954290135816278,-0.0009401633622794225,0.00632251238676329,0.0006582062914578524,0.004632214590149508,-0.0006273596331050069,0.0016251145347855322,-0.00010889633180077851,0.0026516662747297914,0.0031056789683976405,0.0005633987295814435,2.2823872150468105e-05,-0.0013795454815734853,-0.0006390446182988896,-0.004218930353750983,-0.007098562975339506,-0.0014734983082071995,0.002335337277071803,-0.004016961552075982,0.89248,0.1901350043364768,plagioclase (Moderate),yellow
