OID,Latitude (N),Longitude (E),Blended LRO/LOLA and SELENE/Kaguya DEM
242,25.997070312499996,116.80371093750003,-164.0
243,25.997070312499996,116.80566406250003,-168.5
244,25.997070312499996,116.80761718749997,-172.0
245,25.997070312499996,116.8095703125,-175.5
246,25.997070312499996,116.8115234375,-177.0
247,25.997070312499996,116.8134765625,-179.5
248,25.997070312499996,116.81542968749997,-178.0
249,25.997070312499996,116.8173828125,-178.0
250,25.997070312499996,116.8193359375,-179.0
251,25.997070312499996,116.8212890625,-181.0
252,25.997070312499996,116.82324218750003,-181.5
253,25.997070312499996,116.8251953125,-182.0
254,25.997070312499996,116.82714843749997,-183.5
255,25.997070312499996,116.82910156249997,-182.5
256,25.997070312499996,116.83105468750003,-183.5
257,25.997070312499996,116.83300781250006,-184.0
258,25.997070312499996,116.83496093749997,-184.0
259,25.997070312499996,116.8369140625,-184.5
260,25.997070312499996,116.8388671875,-180.5
261,25.997070312499996,116.84082031249997,-183.5
262,25.997070312499996,116.8427734375,-180.0
263,25.997070312499996,116.8447265625,-180.0
264,25.997070312499996,116.84667968750003,-179.0
265,25.997070312499996,116.84863281249994,-174.5
266,25.997070312499996,116.85058593749997,-172.5
267,25.997070312499996,116.85253906250006,-168.0
268,25.997070312499996,116.85449218749997,-161.5
269,25.997070312499996,116.8564453125,-159.5
270,25.997070312499996,116.85839843749997,-151.5
271,25.997070312499996,116.86035156250003,-145.5
272,25.997070312499996,116.8623046875,-139.5
273,25.997070312499996,116.8642578125,-132.0
274,25.997070312499996,116.86621093750003,-125.5
275,25.997070312499996,116.86816406249994,-120.5
276,25.997070312499996,116.8701171875,-113.5
277,25.997070312499996,116.87207031250003,-105.5
278,25.997070312499996,116.87402343750003,-102.5
279,25.997070312499996,116.8759765625,-93.5
280,25.997070312499996,116.87792968749997,-84.5
281,25.997070312499996,116.8798828125,-77.0
282,25.997070312499996,116.8818359375,-70.0
283,25.997070312499996,116.8837890625,-63.5
284,25.997070312499996,116.88574218750003,-56.0
285,25.997070312499996,116.8876953125,-53.5
286,25.997070312499996,116.8896484375,-53.0
287,25.997070312499996,116.89160156250003,-52.0
288,25.997070312499996,116.89355468750003,-51.0
289,25.997070312499996,116.89550781249997,-53.0
290,25.997070312499996,116.89746093749997,-61.5
291,25.997070312499996,116.8994140625,-69.0
292,25.997070312499996,116.9013671875,-73.0
293,25.997070312499996,116.90332031249997,-84.0
294,25.997070312499996,116.90527343750003,-96.5
295,25.997070312499996,116.9072265625,-102.0
296,25.997070312499996,116.9091796875,-103.0
297,25.997070312499996,116.91113281249994,-103.5
298,25.997070312499996,116.91308593750003,-104.5
299,25.997070312499996,116.9150390625,-106.5
300,25.997070312499996,116.91699218749997,-109.0
301,25.997070312499996,116.91894531250003,-111.5
302,25.997070312499996,116.9208984375,-117.5
303,25.997070312499996,116.92285156249997,-122.5
304,25.997070312499996,116.9248046875,-125.0
305,25.997070312499996,116.9267578125,-127.5
306,25.997070312499996,116.9287109375,-127.0
307,25.997070312499996,116.93066406249997,-127.5
308,25.997070312499996,116.9326171875,-125.5
309,25.997070312499996,116.93457031250003,-123.5
310,25.997070312499996,116.9365234375,-122.5
