OID,Latitude (N),Longitude (E),LOLA 1024ppd Elevation - Numeric
317,20.488769531250004,218.68505859375,4873.5
318,20.488769531250004,218.68603515625,4875.5
319,20.488769531250004,218.68701171875,4877.0
320,20.488769531250004,218.68798828125,4879.0
321,20.488769531250004,218.68896484375,4881.0
322,20.488769531250004,218.68994140625,4883.0
323,20.488769531250004,218.69091796875,4884.5
324,20.488769531250004,218.69189453125,4886.5
325,20.488769531250004,218.69287109374997,4888.5
326,20.488769531250004,218.69384765625003,4890.0
327,20.488769531250004,218.69482421875,4892.0
328,20.488769531250004,218.69580078125,4894.0
329,20.488769531250004,218.69677734375,4896.0
330,20.488769531250004,218.69775390625,4898.0
331,20.488769531250004,218.69873046875,4900.0
332,20.488769531250004,218.69970703125,4902.5
333,20.488769531250004,218.70068359375,4904.5
334,20.488769531250004,218.70166015625,4907.0
335,20.488769531250004,218.70263671875003,4909.5
336,20.488769531250004,218.70361328125,4912.0
337,20.488769531250004,218.70458984375,4915.0
338,20.488769531250004,218.70556640625003,4917.5
339,20.488769531250004,218.70654296875003,4921.5
340,20.488769531250004,218.70751953125,4928.0
341,20.488769531250004,218.70849609375,4934.5
342,20.488769531250004,218.70947265625,4936.5
343,20.488769531250004,218.71044921875,4937.0
344,20.488769531250004,218.71142578125,4937.5
345,20.488769531250004,218.71240234375,4938.0
346,20.488769531250004,218.71337890625,4939.0
347,20.488769531250004,218.71435546875,4940.5
348,20.488769531250004,218.71533203125003,4941.5
349,20.488769531250004,218.71630859375003,4943.0
350,20.488769531250004,218.71728515625,4944.5
351,20.488769531250004,218.71826171875,4946.0
352,20.488769531250004,218.71923828125,4947.0
353,20.488769531250004,218.72021484375,4948.5
354,20.488769531250004,218.72119140625,4950.0
355,20.488769531250004,218.72216796875,4951.5
356,20.488769531250004,218.72314453125,4953.5
357,20.488769531250004,218.72412109375,4955.5
358,20.488769531250004,218.72509765625003,4958.0
359,20.488769531250004,218.72607421875,4961.0
360,20.488769531250004,218.72705078125,4964.0
361,20.488769531250004,218.72802734375003,4966.5
362,20.488769531250004,218.72900390625003,4967.5
363,20.488769531250004,218.72998046875,4968.5
364,20.488769531250004,218.73095703125,4969.0
365,20.488769531250004,218.73193359375,4969.5
366,20.488769531250004,218.73291015625,4970.5
367,20.488769531250004,218.73388671875003,4971.0
368,20.488769531250004,218.73486328125,4971.5
369,20.488769531250004,218.73583984375,4972.0
370,20.488769531250004,218.73681640625,4972.0
371,20.488769531250004,218.73779296875003,4972.5
372,20.488769531250004,218.73876953125,4972.5
373,20.488769531250004,218.73974609375,4972.0
374,20.488769531250004,218.74072265625003,4972.0
375,20.488769531250004,218.74169921875,4972.0
376,20.488769531250004,218.74267578125,4972.5
377,20.488769531250004,218.74365234375,4973.0
378,20.488769531250004,218.74462890625,4973.5
379,20.487792968750004,218.62255859375,4818.0
380,20.487792968750004,218.62353515625,4817.5
381,20.48779296875,218.62451171875,4816.5
382,20.48779296875,218.62548828125,4815.5
383,20.48779296875,218.62646484375003,4814.5
384,20.48779296875,218.62744140625,4813.0
